,name,genres,minimum,recommended,release_date,developer,publisher,overall_player_rating,reviews,english_reviews
60,Borderlands 2,"['Loot', 'Shooter', 'Action', 'Multiplayer', 'Co-op', 'Looter Shooter', 'FPS', 'RPG', 'First-Person', 'Funny', 'Comedy', 'Open World', 'Combat', 'Online Co-Op', 'Adventure', 'Action RPG', 'Dark Humor', 'Singleplayer', 'Memes', 'Sci-fi']","['OS *: Windows XP SP3', 'Processor: 2.4 GHz Dual Core Processor', 'Memory: 2 GB(XP)/ 2 GB(Vista)', 'Hard Disk Space: 13 GB free', 'Video Memory: 256 MB', 'Video Card: NVIDIA GeForce 8500 /ATI Radeon HD 2600', 'Sound: DirectX 9.0c Compatible', 'Other Requirements:Initial installation requires one-time internet connection for Steam authentication; software installations required (included with the game) include Steam Client, DirectX 9, Microsoft .NET 4 Framework, Visual C++ Redistributable 2005, Visual C++ Redistributable 2008, Visual C++ Redistributable 2010, and AMD CPU Drivers (XP Only/AMD Only)']","['OS *: Windows XP SP3/Vista/Win 7', 'Processor: 2.3 GHz Quad Core processor', 'Memory: 2 GB', 'Hard Disk Space: 20 GB free', 'Video Memory: 512MB', 'Video Card: NVIDIA GeForce GTX 560 / ATI Radeon HD 5850', 'Sound: DirectX 9.0c Compatible', 'Other Requirements:Initial installation requires one-time internet connection for Steam authentication; software installations required (included with the game) include Steam Client, DirectX 9, Microsoft .NET 4 Framework, Visual C++ Redistributable 2005, Visual C++ Redistributable 2008, Visual C++ Redistributable 2010, and AMD CPU Drivers (XP Only/AMD Only)']","21 Sep, 2012","['Gearbox Software', 'Aspyr (Mac)', 'Aspyr (Linux)']","['2K', 'Aspyr (Mac)', 'Aspyr (Linux)']",1.0,"(191,558)","159,122"
61,ARK: Survival Evolved,"['Open World Survival Craft', 'Survival', 'Multiplayer', 'Open World', 'Dinosaurs', 'Crafting', 'Building', 'Adventure', 'Base Building', 'Co-op', 'Action', 'First-Person', 'Sandbox', 'Massively Multiplayer', 'Singleplayer', 'Early Access', 'RPG', 'Dragons', 'Sci-fi', 'Indie']","['OS *: Windows 7/8.1/10 (64-bit versions)', 'Processor: Intel Core i5-2400/AMD FX-8320 or better', 'Memory: 8 GB RAM', 'Graphics: NVIDIA GTX 670 2GB/AMD Radeon HD 7870 2GB or better', 'DirectX: Version 10', 'Storage: 60 GB available space', 'Additional Notes: Requires broadband internet connection for multiplayer']","['OS *: Windows 7/8.1/10 (64-bit versions)', 'Processor: Intel Core i5-2400/AMD FX-8320 or better', 'Memory: 8 GB RAM', 'Graphics: NVIDIA GTX 670 2GB/AMD Radeon HD 7870 2GB or better', 'DirectX: Version 10', 'Storage: 60 GB available space', 'Additional Notes: Requires broadband internet connection for multiplayer']","27 Aug, 2017","['Studio Wildcard', 'Instinct Games', 'Efecto Studios', 'Virtual Basement LLC']","['Studio Wildcard', 'Snail Games USA']",2.0,"(527,988)","310,038"
62,Vampire Survivors,"['Action Roguelike', 'Bullet Hell', 'Pixel Graphics', 'Roguelite', '2D', 'Indie', 'Vampire', 'Singleplayer', 'Casual', 'Arcade', 'Action', 'Roguelike', 'RPG', 'Controller', 'Retro', 'Score Attack', 'Dark Fantasy', 'Action RPG', 'Local Co-Op', '1980s']","['Requires a 64-bit processor and operating system', 'OS: Windows 10 64bit', 'Processor: x64 architecture with SSE2 instruction set support', 'Memory: 1 GB RAM', 'Graphics: DX11, DX12 capable', 'Storage: 600 MB available space']",['Requires a 64-bit processor and operating system'],"20 Oct, 2022",['poncle'],['poncle'],1.0,"(223,533)","120,230"
63,Devil May Cry 5,"['Action', 'Hack and Slash', 'Great Soundtrack', 'Character Action Game', 'Demons', 'Spectacle fighter', 'Third Person', 'Singleplayer', 'Violent', 'Nudity', 'Sexual Content', 'Story Rich', 'Stylized', 'Difficult', 'Classic', 'Gore', 'Multiplayer', 'Controller', 'Adventure', 'Anime']","['OS: WINDOWS® 10 (64-BIT Required)', 'Processor: Intel® Core™ i5-4460, AMD FX™-6300, or better', 'Memory: 8 GB RAM', 'Graphics: NVIDIA® GeForce® GTX 760 or AMD Radeon™ R7 260x with 2GB Video RAM, or better', 'DirectX: Version 11', 'Storage: 35 GB available space', 'Additional Notes: *Xinput support Controllers recommended *Internet connection required for game activation. (Network connectivity uses Steam® developed by Valve® Corporation.)']","['OS: WINDOWS® 10 (64-BIT Required)', 'Processor: Intel® Core™ i7-3770, AMD FX™-9590, or better', 'Memory: 8 GB RAM', 'Graphics: NVIDIA® GeForce® GTX 1060 with 6GB VRAM, AMD Radeon™ RX 480 with 8GB VRAM, or better', 'DirectX: Version 11', 'Storage: 35 GB available space', 'Additional Notes: *Xinput support Controllers recommended *Internet connection required for game activation. (Network connectivity uses Steam® developed by Valve® Corporation.)']","8 Mar, 2019","['CAPCOM Co., Ltd.']","['CAPCOM Co., Ltd.']",1.0,"(86,656)","39,742"
64,Monster Hunter: World,"['Co-op', 'Multiplayer', 'Action', 'Open World', 'RPG', 'Character Customization', 'Third Person', 'Adventure', 'Fantasy', 'Difficult', 'Action RPG', 'Singleplayer', 'Exploration', 'Great Soundtrack', 'Replay Value', 'Atmospheric', 'Hack and Slash', 'JRPG', 'MMORPG', 'Souls-like']","['Requires a 64-bit processor and operating system', 'OS: WINDOWS® 10 (64-bit required)', 'Processor: Intel® Core™ i5 4460 or Core™ i3 9100F or AMD FX™-6300 or Ryzen™ 3 3200G', 'Memory: 8 GB RAM', 'Graphics: NVIDIA®GeForce®GTX 760 or GTX1050 or AMD Radeon™ R7 260x or RX 560', 'DirectX: Version 11', 'Network: Broadband Internet connection', 'Storage: 52 GB available space', 'Sound Card: DirectSound (DirectX® 9.0c or later)', 'Additional Notes: - These specs allow for the game to be played in 1080p/30fps with graphics settings at ""Low"". - 64-bit processor and operating system are required.']","['Requires a 64-bit processor and operating system', 'OS: WINDOWS® 10 (64-bit required)', 'Processor: Intel® Core™ i7 3770 or Core™ i3 8350 or Core™ i3 9350F / AMD Ryzen™ 5 1500X or Ryzen™ 5 3400G', 'Memory: 8 GB RAM', 'Graphics: NVIDIA® GeForce® GTX 1060 (VRAM 3GB) or GTX 1650 / AMD Radeon™ RX 480 or RX 570', 'DirectX: Version 11', 'Network: Broadband Internet connection', 'Storage: 52 GB available space', 'Sound Card: DirectSound (DirectX® 9.0c or later)', 'Additional Notes: - These specs allow for the game to be played in 1080p/30fps with graphics settings at ""High"". - 64-bit processor and operating system are required. - Windows 10 (Version 1809 or later) and a 4GB VRAM GPU (graphics board or video card) are required for DirectX 12 API.']","8 Aug, 2018","['CAPCOM Co., Ltd.']","['CAPCOM Co., Ltd.']",2.0,"(275,839)","153,309"
65,Half-Life 2,"['FPS', 'Action', 'Sci-fi', 'Classic', 'Singleplayer', 'Story Rich', 'Shooter', 'First-Person', 'Adventure', 'Dystopian', 'Atmospheric', 'Silent Protagonist', 'Zombies', 'Physics', 'Aliens', 'Great Soundtrack', 'Horror', 'Puzzle', 'Multiplayer', 'Moddable']","['OS *: Windows 7, Vista, XP', 'Processor: 1.7 Ghz', 'Memory: 512 MB RAM', 'Graphics: DirectX 8.1 level Graphics Card (requires support for SSE)', 'Storage: 6500 MB available space']","['OS *: Windows 7, Vista, XP', 'Processor: 1.7 Ghz', 'Memory: 512 MB RAM', 'Graphics: DirectX 8.1 level Graphics Card (requires support for SSE)', 'Storage: 6500 MB available space']","16 Nov, 2004",['Valve'],['Valve'],1.0,"(159,064)","91,844"
66,Tomb Raider,"['Adventure', 'Action', 'Female Protagonist', 'Third Person', 'Singleplayer', 'Story Rich', 'Third-Person Shooter', 'Multiplayer', 'Exploration', 'Action-Adventure', 'Quick-Time Events', 'Atmospheric', 'Shooter', 'Puzzle', 'Stealth', 'Cinematic', 'Platformer', 'RPG', 'Reboot', '3D Vision']","['OS *:Windows XP Service Pack 3, Windows Vista,7,8 (32bit/64bit)', 'Processor:Dual core CPU: AMD Athlon64 X2 2.1 Ghz (4050+), Intel Core2 Duo 1.86 Ghz (E6300)', 'Memory:1GB Memory (2GB on Vista)', 'Graphics:DirectX 9 graphics card with 512Mb Video RAM: AMD Radeon HD 2600 XT, nVidia 8600', 'DirectX®:9.0c', 'Hard Drive:12 GB HD space', 'Other Requirements:Broadband Internet connection']","['OS *:Windows Vista, Windows 7 or Windows 8', 'Processor:Quad core CPU: AMD Phenom II X4 955, Intel Core i5-750', 'Memory:4 GB RAM', 'Graphics:DirectX 11 graphics card with 1GB Video RAM: AMD Radeon HD 5870, nVidia GTX 480', 'DirectX®:11', 'Hard Drive:12 GB HD space', 'Other Requirements:Broadband Internet connection']","5 Mar, 2013","['Crystal Dynamics', 'Eidos-Montréal', 'Feral Interactive (Mac)', 'Nixxes']","['Crystal Dynamics', 'Feral Interactive (Mac)']",1.0,"(146,141)","70,527"
67,Resident Evil 4,"['Horror', 'Action', 'Survival Horror', 'Third-Person Shooter', 'Singleplayer', 'Zombies', 'Story Rich', 'Survival', 'Cinematic', 'Dark', 'Realistic', 'Remake', 'Gore', 'Resource Management', 'Adventure', 'Third Person', 'Psychological Horror', '3D', 'Violent', 'Action-Adventure']","['Requires a 64-bit processor and operating system', 'OS: Windows 10 (64 bit)', 'Processor: AMD Ryzen 3 1200 / Intel Core i5-7500', 'Memory: 8 GB RAM', 'Graphics: AMD Radeon RX 560 with 4GB VRAM / NVIDIA GeForce GTX 1050 Ti with 4GB VRAM', 'DirectX: Version 12', 'Network: Broadband Internet connection', 'Additional Notes: Estimated performance (when set to Prioritize Performance): 1080p/45fps. ・Framerate might drop in graphics-intensive scenes. ・AMD Radeon RX 6700 XT or NVIDIA GeForce RTX 2060 required to support ray tracing.']","['Requires a 64-bit processor and operating system', 'OS: Windows 10 (64 bit)/Windows 11 (64 bit)', 'Processor: AMD Ryzen 5 3600 / Intel Core i7 8700', 'Memory: 16 GB RAM', 'Graphics: AMD Radeon RX 5700 / NVIDIA GeForce GTX 1070', 'DirectX: Version 12', 'Network: Broadband Internet connection', 'Additional Notes: Estimated performance: 1080p/60fps ・Framerate might drop in graphics-intensive scenes. ・AMD Radeon RX 6700 XT or NVIDIA GeForce RTX 2070 required to support ray tracing.']","24 Mar, 2023","['CAPCOM Co., Ltd.']","['CAPCOM Co., Ltd.']",1.0,"(93,344)","57,896"
68,Satisfactory,"['Base Building', 'Automation', 'Open World', 'Multiplayer', 'Crafting', 'Co-op', 'Resource Management', 'Building', 'Sandbox', 'Exploration', 'Adventure', 'Open World Survival Craft', 'Simulation', 'Survival', 'First-Person', 'Early Access', 'Strategy', 'Sci-fi', 'Singleplayer', 'Indie']","['Requires a 64-bit processor and operating system', 'OS: Windows 10 or later (64-Bit)', 'Processor: i5-3570 3.4 GHz 4 Core', 'Memory: 8 GB RAM', 'Graphics: Nvidia GTX 1650/GTX 1050-ti, or AMD RX 470/RX 570, or equivalent performance & VRAM', 'Storage: 20 GB available space', 'Additional Notes: Internet connection required for multiplayer.']","['Requires a 64-bit processor and operating system', 'OS: Windows 11 or later (64-Bit)', 'Processor: Ryzen 5 5600X\ufeff or \ufeffi5-12400 \ufeffor equivalent performance, 6 physical cores minimum', 'Memory: 16 GB RAM', 'Graphics: Nvidia RTX 2070\ufeff or RX 5700, or equivalent performance & VRAM', 'Storage: 20 GB available space', 'Additional Notes: Internet connection required for multiplayer.']","10 Sep, 2024",['Coffee Stain Studios'],['Coffee Stain Publishing'],1.0,"(154,636)","105,046"
69,Persona 3 Reload,"['JRPG', 'RPG', 'Anime', 'Party-Based RPG', 'Adventure', 'Turn-Based Strategy', 'Strategy', 'Dating Sim', 'Story Rich', 'Dark', 'Strategy RPG', 'Emotional', 'Visual Novel', 'Colorful', 'Turn-Based Combat', 'Great Soundtrack', 'Mystery', 'Supernatural', 'Detective', 'Multiple Endings']","['Requires a 64-bit processor and operating system', 'OS: Windows 10', 'Processor: Intel Core i5-2300, AMD FX-4350', 'Memory: 8 GB RAM', 'Graphics: NVIDIA GeForce GTX 650 Ti, 2 GB; AMD Radeon HD 7850, 2 GB', 'DirectX: Version 12', 'Storage: 30 GB available space', 'Additional Notes: Performance Target: 720p, low graphics settings, @ 30 FPS']","['Requires a 64-bit processor and operating system', 'OS: Windows 10', 'Processor: Intel Core i7-4790, AMD Ryzen 5 1400', 'Memory: 8 GB RAM', 'Graphics: NVIDIA GeForce GTX 1650, 4 GB, AMD Radeon R9 290X, 4 GB', 'DirectX: Version 12', 'Storage: 30 GB available space', 'Additional Notes: Performance Target: 1080p, high graphics settings, @ 60 FPS']","1 Feb, 2024",['ATLUS'],['SEGA'],2.0,"(19,224)","14,578"
