,name,genres,minimum,recommended,release_date,developer,publisher,overall_player_rating,reviews,english_reviews
0,Black Myth: Wukong,"['Mythology', 'Action RPG', 'Action', 'RPG', 'Souls-like', 'Combat', 'Story Rich', 'Singleplayer', 'Drama', 'Action-Adventure', 'Dark Fantasy', 'Atmospheric', 'Adventure', '3D', 'Fantasy', 'Hack and Slash', 'Third Person', 'Difficult', 'Music', 'Violent']","['Requires a 64-bit processor and operating system', 'OS: Windows 10 64-bit', 'Processor: Intel Core i5-8400 / AMD Ryzen 5 1600', 'Memory: 16 GB RAM', 'Graphics: NVIDIA GeForce GTX 1060 6GB / AMD Radeon RX 580 8GB', 'DirectX: Version 11', 'Storage: 130 GB available space', 'Sound Card: Windows Compatible Audio Device', 'Additional Notes: HDD Supported, SSD Recommended. The above specifications were tested with DLSS/FSR/XeSS enabled.']","['Requires a 64-bit processor and operating system', 'OS: Windows 10 64-bit', 'Processor: Intel Core i7-9700 / AMD Ryzen 5 5500', 'Memory: 16 GB RAM', 'Graphics: NVIDIA GeForce RTX 2060 / AMD Radeon RX 5700 XT / INTEL Arc A750', 'DirectX: Version 12', 'Storage: 130 GB available space', 'Sound Card: Windows Compatible Audio Device', 'Additional Notes: SSD Required. The above specifications were tested with DLSS/FSR/XeSS enabled.']","19 Aug, 2024",['Game Science'],['Game Science'],1.0,"(654,820)","51,931"
1,Counter-Strike 2,"['FPS', 'Shooter', 'Multiplayer', 'Competitive', 'Action', 'Team-Based', 'eSports', 'Tactical', 'First-Person', 'PvP', 'Online Co-Op', 'Co-op', 'Strategy', 'Military', 'War', 'Difficult', 'Trading', 'Realistic', 'Fast-Paced', 'Moddable']","['OS: Windows® 10', 'Processor: 4 hardware CPU threads - Intel® Core™ i5 750 or higher', 'Memory: 8 GB RAM', 'Graphics: Video card must be 1 GB or more and should be a DirectX 11-compatible with support for Shader Model 5.0', 'DirectX: Version 11', 'Storage: 85 GB available space']","['OS: Windows® 10', 'Processor: 4 hardware CPU threads - Intel® Core™ i5 750 or higher', 'Memory: 8 GB RAM', 'Graphics: Video card must be 1 GB or more and should be a DirectX 11-compatible with support for Shader Model 5.0', 'DirectX: Version 11', 'Storage: 85 GB available space']","21 Aug, 2012",['Valve'],['Valve'],2.0,"(8,313,603)","2,258,990"
2,"Warhammer 40,000: Space Marine 2","['Warhammer 40K', 'Action', 'Third-Person Shooter', 'Adventure', 'Multiplayer', 'Action-Adventure', 'PvE', 'Co-op', 'Third Person', 'Wargame', 'Sci-fi', '3D', 'Narration', 'Fantasy', 'Space', 'War', 'Realistic', 'Singleplayer', 'Cinematic', 'Futuristic']","['Requires a 64-bit processor and operating system', 'OS: Windows 10 (1903 min)/11 64-bit', 'Processor: AMD Ryzen 5 2600X / Intel Core i5-8600K', 'Memory: 8 GB RAM', 'Graphics: 6 GB VRAM, AMD Radeon RX 580 / Nvidia GeForce GTX 1060', 'DirectX: Version 12', 'Storage: 75 GB available space', 'Additional Notes: SSD required. 30 FPS in 1920x1080 with ""Low"" preset.']","['Requires a 64-bit processor and operating system', 'OS: Windows 10 (1903 min)/11 64-bit', 'Processor: AMD Ryzen 7 5800X / Intel Core i7-12700', 'Memory: 16 GB RAM', 'Graphics: 8 GB VRAM, AMD Radeon RX 6800 XT / Nvidia GeForce RTX 3070', 'DirectX: Version 12', 'Storage: 75 GB available space', 'Additional Notes: SSD required. 60 FPS in 1920x1080 with the ""Ultra"" preset.']","9 Sep, 2024",['Saber Interactive'],['Focus Entertainment'],2.0,"(81% of 62,791) All Time","51,920"
3,Cyberpunk 2077,"['Cyberpunk', 'Open World', 'Nudity', 'RPG', 'Singleplayer', 'Sci-fi', 'Futuristic', 'FPS', 'Mature', 'Story Rich', 'First-Person', 'Atmospheric', 'Exploration', 'Action', 'Violent', 'Great Soundtrack', 'Action RPG', 'Adventure', 'Character Customization', 'Immersive Sim']","['Requires a 64-bit processor and operating system', 'OS: 64-bit Windows 10', 'Processor: Core i7-6700 or Ryzen 5 1600', 'Memory: 12 GB RAM', 'Graphics: GeForce GTX 1060 6GB or Radeon RX 580 8GB or Arc A380', 'DirectX: Version 12', 'Storage: 70 GB available space', 'Additional Notes: SSD required. Attention: In this game you will encounter a variety of visual effects that may provide seizures or loss of consciousness in a minority of people. If you or someone you know experiences any of the above symptoms while playing, stop and seek medical attention immediately.']","['Requires a 64-bit processor and operating system', 'OS: 64-bit Windows 10', 'Processor: Core i7-12700 or Ryzen 7 7800X3D', 'Memory: 16 GB RAM', 'Graphics: GeForce RTX 2060 SUPER or Radeon RX 5700 XT or Arc A770', 'DirectX: Version 12', 'Storage: 70 GB available space', 'Additional Notes: SSD required.']","10 Dec, 2020",['CD PROJEKT RED'],['CD PROJEKT RED'],2.0,"(680,264)","324,124"
4,ELDEN RING,"['Souls-like', 'Dark Fantasy', 'Open World', 'RPG', 'Difficult', 'Action RPG', 'Third Person', 'Multiplayer', 'Fantasy', 'Singleplayer', 'Online Co-Op', 'Action', 'Co-op', 'PvP', 'Atmospheric', 'Great Soundtrack', 'Violent', '3D', 'Character Customization', 'Family Friendly']","['Requires a 64-bit processor and operating system', 'OS: Windows 10', 'Processor: INTEL CORE I5-8400 or AMD RYZEN 3 3300X', 'Memory: 12 GB RAM', 'Graphics: NVIDIA GEFORCE GTX 1060 3 GB or AMD RADEON RX 580 4 GB', 'DirectX: Version 12', 'Storage: 60 GB available space', 'Sound Card: Windows Compatible Audio Device', 'Additional Notes:']","['Requires a 64-bit processor and operating system', 'OS: Windows 10/11', 'Processor: INTEL CORE I7-8700K or AMD RYZEN 5 3600X', 'Memory: 16 GB RAM', 'Graphics: NVIDIA GEFORCE GTX 1070 8 GB or AMD RADEON RX VEGA 56 8 GB', 'DirectX: Version 12', 'Storage: 60 GB available space', 'Sound Card: Windows Compatible Audio Device', 'Additional Notes:']","25 Feb, 2022","['FromSoftware, Inc.']","['FromSoftware, Inc.', 'Bandai Namco Entertainment']",2.0,"(705,261)","491,741"
5,PUBG: BATTLEGROUNDS,"['Survival', 'Shooter', 'Battle Royale', 'Multiplayer', 'FPS', 'PvP', 'Third-Person Shooter', 'Action', 'Online Co-Op', 'Tactical', 'Co-op', 'First-Person', 'Strategy', 'Early Access', 'Competitive', 'Third Person', 'Team-Based', 'Difficult', 'Simulation', 'Stealth']","['Requires a 64-bit processor and operating system', 'OS: 64-bit Windows 10', 'Processor: Intel Core i5-4430 / AMD FX-6300', 'Memory: 8 GB RAM', 'Graphics: NVIDIA GeForce GTX 960 2GB / AMD Radeon R7 370 2GB', 'DirectX: Version 11', 'Network: Broadband Internet connection', 'Storage: 40 GB available space']","['Requires a 64-bit processor and operating system', 'OS: 64-bit Windows 10', 'Processor: Intel Core i5-6600K / AMD Ryzen 5 1600', 'Memory: 16 GB RAM', 'Graphics: NVIDIA GeForce GTX 1060 3GB / AMD Radeon RX 580 4GB', 'DirectX: Version 11', 'Network: Broadband Internet connection', 'Storage: 50 GB available space']","21 Dec, 2017",['PUBG Corporation'],"['KRAFTON, Inc.']",5.0,"(2,432,683)","417,109"
6,Apex Legends™,"['Free to Play', 'Battle Royale', 'Multiplayer', 'FPS', 'Shooter', 'First-Person', 'PvP', 'Action', 'Hero Shooter', 'Team-Based', 'Tactical', 'Sci-fi', 'Survival', 'Loot', 'Character Customization', 'Funny', 'Co-op', 'Lore-Rich', 'Cyberpunk', 'Cinematic']","['Requires a 64-bit processor and operating system', 'OS: 64-bit Windows 10', 'Processor: AMD FX 4350 or Equivalent, Intel Core i3 6300 or Equivalent', 'Memory: 6 GB RAM', 'Graphics: AMD Radeon™ HD 7730, NVIDIA GeForce® GT 640', 'DirectX: Version 11', 'Network: Broadband Internet connection', 'Storage: 75 GB available space', 'Additional Notes: ~3.8GB for 1 localized language']","['Requires a 64-bit processor and operating system', 'OS: 64-bit Windows 10', 'Processor: Ryzen 5 CPU or Equivalent', 'Memory: 8 GB RAM', 'Graphics: AMD Radeon™ R9 290, NVIDIA GeForce® GTX 970', 'DirectX: Version 11', 'Network: Broadband Internet connection', 'Storage: 75 GB available space', 'Additional Notes: ~3.8GB for 1 localized language']","4 Nov, 2020",['Respawn'],['Electronic Arts'],5.0,"(948,818)","406,269"
7,Dota 2,"['Free to Play', 'MOBA', 'Multiplayer', 'Strategy', 'eSports', 'Team-Based', 'Competitive', 'Action', 'Online Co-Op', 'PvP', 'Difficult', 'Co-op', 'RTS', 'RPG', 'Tower Defense', 'Fantasy', 'Character Customization', 'Replay Value', 'Action RPG', 'Simulation']","['OS *: Windows 7 or newer', 'Processor: Dual core from Intel or AMD at 2.8 GHz', 'Memory: 4 GB RAM', 'Graphics: NVIDIA GeForce 8600/9600GT, ATI/AMD Radeon HD2600/3600', 'DirectX: Version 11', 'Network: Broadband Internet connection', 'Storage: 60 GB available space', 'Sound Card: DirectX Compatible']","['OS *: Windows 7 or newer', 'Processor: Dual core from Intel or AMD at 2.8 GHz', 'Memory: 4 GB RAM', 'Graphics: NVIDIA GeForce 8600/9600GT, ATI/AMD Radeon HD2600/3600', 'DirectX: Version 11', 'Network: Broadband Internet connection', 'Storage: 60 GB available space', 'Sound Card: DirectX Compatible']","9 Jul, 2013",['Valve'],['Valve'],2.0,"(2,322,723)","731,670"
8,Party Animals,"['Casual', 'Multiplayer', 'Funny', 'Cute', 'Party Game', 'Fighting', 'Action', 'PvP', 'Co-op', 'Party', 'Family Friendly', 'Online Co-Op', 'Local Multiplayer', 'Physics', '3D Fighter', '4 Player Local', 'Indie', 'Local Co-Op', 'Team-Based', 'Action-Adventure']","['Requires a 64-bit processor and operating system', 'OS: Windows 10, 64-bit / Windows 11, 64-bit', 'Processor: Intel Core i5 / AMD equivalent', 'Memory: 8 GB RAM', 'Graphics: NVIDIA GTX 750-Ti / AMD RX 550, 2GB VRam', 'DirectX: Version 11', 'Network: Broadband Internet connection', 'Storage: 8 GB available space']","['Requires a 64-bit processor and operating system', 'OS: Windows 10, 64-bit / Windows 11, 64-bit', 'Processor: Intel Core i5 7500K / AMD equivalent', 'Memory: 16 GB RAM', 'Graphics: NVIDIA GTX 1060 / AMD RX 580, 4GB VRam / Intel Arc A380', 'DirectX: Version 11', 'Network: Broadband Internet connection', 'Storage: 8 GB available space']","20 Sep, 2023",['Recreate Games'],['Source Technology'],3.0,"(38,225)","16,141"
9,Total War: WARHAMMER III,"['Strategy', 'Turn-Based Strategy', 'Grand Strategy', 'RTS', 'Fantasy', 'Real Time Tactics', 'War', 'Dark Fantasy', 'Action', 'Tactical', 'Atmospheric', 'Dwarf', 'Games Workshop', 'Multiplayer', 'Colorful', 'Co-op', 'PvP', 'Singleplayer', 'Story Rich', 'Online Co-Op']","['OS *: Windows 7 64-bit', 'Processor: Intel i3/Ryzen 3 series', 'Memory: 6 GB RAM', 'Graphics: Nvidia GTX 900/AMD RX 400 series | Intel Iris Xe Graphics', 'DirectX: Version 11', 'Storage: 120 GB available space', 'Additional Notes: This game may be updated over time and have paid for and free. additional content released for it. Please be aware that this may increase the minimum requirements for running the game above the specification stated here.']","['OS: Windows 10 64-bit', 'Processor: Intel i5/Ryzen 5 series', 'Memory: 8 GB RAM', 'Graphics: Nvidia GeForce GTX 1660 Ti/AMD RX 5600-XT/Intel Arc A750', 'DirectX: Version 11', 'Storage: 120 GB available space', 'Additional Notes: 8GB Memory if using integrated GPU.']","16 Feb, 2022","['CREATIVE ASSEMBLY', 'Feral Interactive']","['SEGA', 'Feral Interactive']",5.0,"(75,474)","61,292"
10,Cyberpunk 2077: Phantom Liberty,"['RPG', 'Sexual Content', 'Cyberpunk', 'Open World', 'Story Rich', 'Nudity', 'Violent', 'Gore', 'Atmospheric', 'Singleplayer', 'First-Person', 'FPS', 'Character Customization', 'Action RPG', 'Action', 'Choices Matter', 'Shooter', 'Horror', 'Great Soundtrack', 'Stealth']","['Requires a 64-bit processor and operating system', 'OS: 64-bit Windows 10', 'Processor: Core i7-6700 or Ryzen 5 1600', 'Memory: 12 GB RAM', 'Graphics: GeForce GTX 1060 6GB or Radeon RX 580 8GB or Arc A380', 'DirectX: Version 12', 'Storage: 35 GB available space', 'Additional Notes: Attention: see upcoming change to the requirements. Storage: 35 GB SSD. In this game you will encounter a variety of visual effects that may provide seizures or loss of consciousness in a minority of people. If you or someone you know experiences any of the above symptoms while playing, stop and seek medical attention immediately.']","['Requires a 64-bit processor and operating system', 'OS: 64-bit Windows 10', 'Processor: Core i7-12700 or Ryzen 7 7800X3D', 'Memory: 16 GB RAM', 'Graphics: GeForce RTX 2060 SUPER or Radeon RX 5700 XT or Arc A770', 'DirectX: Version 12', 'Storage: 35 GB available space', 'Additional Notes: Storage: 35 GB SSD']","26 Sep, 2023",['CD PROJEKT RED'],['CD PROJEKT RED'],2.0,"(15,726)","7,969"
11,Once Human,"['Survival', 'Open World', 'Multiplayer', 'Free to Play', 'Co-op', 'Shooter', 'Horror', 'Post-apocalyptic', 'Base Building', 'Action', 'Adventure', 'Strategy', '3D', 'RPG', 'Simulation', 'MMORPG', 'Action-Adventure', 'PvP', 'Singleplayer', 'Strategy RPG']","['OS: Windows 10 64-bit Operating System', 'Processor: Intel Core i5-4460', 'Memory: 8 GB RAM', 'Graphics: Nvidia GTX 750ti 4G / AMD Radeon RX550', 'DirectX: Version 11', 'Network: Broadband Internet connection', 'Storage: 55 GB available space', 'Additional Notes: SSD is highly recommended']","['OS: Windows 10 64-bit Operating System', 'Processor: Intel Core i7-7700', 'Memory: 16 GB RAM', 'Graphics: Nvidia GTX 1060 6G / AMD Radeon RX 580 2304SP / Intel ARC A380', 'DirectX: Version 11', 'Network: Broadband Internet connection', 'Storage: 55 GB available space', 'Additional Notes: SSD is highly recommended']","9 Jul, 2024",['Starry Studio'],['Starry Studio'],3.0,"(89,006)","44,785"
12,NARAKA: BLADEPOINT,"['Battle Royale', 'Multiplayer', 'Martial Arts', 'PvP', 'Action', 'Female Protagonist', 'Character Customization', 'Massively Multiplayer', 'Fighting', 'Survival', 'Third Person', 'Swordplay', 'Hack and Slash', 'Anime', 'Parkour', 'Adventure', 'Mature', 'Free to Play', 'Violent', 'Gore']","['OS *: Windows 7 64-bit or newer', 'Processor: Intel i5 4th generation or AMD FX 6300 or equivalent', 'Memory: 8 GB RAM', 'Graphics: NVIDIA GeForce GTX 750TI, Intel Arc A380, AMD HD 6950 or equivalent', 'DirectX: Version 11', 'Network: Broadband Internet connection', 'Storage: 50 GB available space', 'Additional Notes: a) Can run at 720p/60fps; b) We advise you install the game on an SSD for a more streamlined experience. c) Requires “Windows Memory integrity and VBS enablement” to be disabled']","['OS: Windows 10 64-bit', 'Processor: Intel i7 7th generation or equivalent', 'Memory: 16 GB RAM', 'Graphics: NVIDIA GeForce GTX 1060 6G, Intel Arc A750, AMD RX480 or equivalent', 'DirectX: Version 11', 'Network: Broadband Internet connection', 'Storage: 50 GB available space', 'Additional Notes: a) Can run at 1080p/60fps; b) We advise you install the game on an SSD for a more streamlined experience. c) Requires “Windows Memory integrity and VBS enablement” to be disabled']","11 Aug, 2021",['24 Entertainment'],['NetEase Games Global'],3.0,"(253,231)","20,468"
13,Warframe,"['Free to Play', 'Action RPG', 'Looter Shooter', 'Third-Person Shooter', 'Action', 'RPG', 'Third Person', 'Character Customization', 'Massively Multiplayer', 'Online Co-Op', 'Co-op', 'Singleplayer', 'PvE', 'Sci-fi', 'Space', 'Lore-Rich', 'Shooter', 'Hack and Slash', 'Parkour', 'Ninja']","['OS *:Windows 7 64-Bit (32-bit not supported)', 'Processor:Intel Core i7 860, Intel Core i5 750, or AMD FX-4100 (SSE 4.2 support required)', 'Video:DirectX 11+ capable Graphics Card', 'Memory:4 GB RAM', 'Storage:50 GB available HD space', 'Internet:Broadband Internet Connection Required']","['OS *:Windows 7 64-Bit (32-bit not supported)', 'Processor:Intel Core i7 860, Intel Core i5 750, or AMD FX-4100 (SSE 4.2 support required)', 'Video:DirectX 11+ capable Graphics Card', 'Memory:4 GB RAM', 'Storage:50 GB available HD space', 'Internet:Broadband Internet Connection Required']","25 Mar, 2013",['Digital Extremes'],['Digital Extremes'],2.0,"(591,568)","253,397"
14,Grounded,"['Survival', 'Multiplayer', 'Co-op', 'Open World Survival Craft', 'Base Building', 'Crafting', 'Adventure', 'Open World', 'Horror', 'Online Co-Op', 'Exploration', 'Action', 'Sandbox', 'First-Person', 'Singleplayer', 'RPG', 'Third Person', 'Cute', 'Early Access', 'Funny']","['Requires a 64-bit processor and operating system', 'OS: Windows 10 64bit', 'Processor: Intel Core i3-3225', 'Memory: 4 GB RAM', 'Graphics: Nvidia GTX 650 Ti', 'Storage: 8 GB available space']","['Requires a 64-bit processor and operating system', 'OS: Windows 11 64bit', 'Processor: Intel Core i7-7700K or Ryzen 5 1600', 'Memory: 8 GB RAM', 'Graphics: GeForce GTX 1060 6GB or Radeon RX 470', 'Storage: 8 GB available space']","27 Sep, 2022",['Obsidian Entertainment'],['Xbox Game Studios'],2.0,"(58,988)","41,223"
15,Tom Clancy's Rainbow Six® Siege,"['FPS', 'PvP', 'eSports', 'Multiplayer', 'Shooter', 'Tactical', 'Competitive', 'Online Co-Op', 'Action', 'Hero Shooter', 'Team-Based', 'Military', 'Strategy', 'First-Person', 'War', 'Co-op', 'Realistic', 'Destruction', 'Difficult', '3D']","['OS *: Originally released for Windows 7, the game can be played on Windows 10 and Windows 11 OS', 'Processor: Intel Core i3 560 @ 3.3 GHz or AMD Phenom II X4 945 @ 3.0 GHz', 'Memory: 6 GB RAM', 'Graphics: NVIDIA GeForce GTX 460 or AMD Radeon HD 5870 (DirectX-11 compliant with 1GB of VRAM)', 'Network: Broadband Internet connection', 'Storage: 61 GB available space', 'Sound Card: DirectX® 9.0c compatible sound card with latest drivers', 'Additional Notes: SUPPORTED VIDEO CARDS AT TIME OF RELEASE:  GeForce GTX 460 or better, GTX 560 or better, GTX 650 or better, GTX 750 or better, or any card from the GT900 and Titan Series, Radeon HD5870 or better, HD6870 or better, HD7770 or better, R7 260X or better, or any card from the R-300 series and Fury X. Laptop models of these cards may work but are not supported. These chipsets are the only ones that will run this game. Additional chipsets may be supported after release. For an up-to-date list of supported chipsets, please visit the FAQ for this game on our support website: http://support.ubi.com. Game contains FairFight (https://www.gameblocks.com/products) and BattleEye (https://www.battleye.com/) anti-cheat technology.']","['OS *: Originally released for Windows 7, the game can be played on Windows 10 and Windows 11 OS', 'Processor: Intel Core i5-2500K @ 3.3 GHz or better or AMD FX-8120 @ 3.1 Ghz or better', 'Memory: 8 GB RAM', 'Graphics: NVIDIA GeForce GTX 670 (or GTX 760 / GTX 960) or AMD Radeon HD 7970 (or R9 280x [2GB VRAM] / R9 380 / Fury X)', 'Network: Broadband Internet connection', 'Storage: 61 GB available space', 'Sound Card: DirectX® 9.0c compatible sound card 5.1 with latest drivers', 'Additional Notes: SUPPORTED VIDEO CARDS AT TIME OF RELEASE:  GeForce GTX 460 or better, GTX 560 or better, GTX 650 or better, GTX 750 or better, or any card from the GT900 and Titan Series, Radeon HD5870 or better, HD6870 or better, HD7770 or better, R7 260X or better, or any card from the R-300 series and Fury X. Laptop models of these cards may work but are not supported. These chipsets are the only ones that will run this game. Additional chipsets may be supported after release. For an up-to-date list of supported chipsets, please visit the FAQ for this game on our support website: http://support.ubi.com. Game contains FairFight (https://www.gameblocks.com/products) and BattleEye (https://www.battleye.com/) anti-cheat technology.']","1 Dec, 2015",['Ubisoft Montreal'],['Ubisoft'],2.0,"(1,121,920)","646,088"
16,Grand Theft Auto V,"['Open World', 'Action', 'Multiplayer', 'Crime', 'Automobile Sim', 'Third Person', 'First-Person', 'Mature', 'Shooter', 'Adventure', 'Singleplayer', 'Third-Person Shooter', 'Racing', 'Co-op', 'Sandbox', 'Atmospheric', 'Funny', 'Great Soundtrack', 'Comedy', 'Moddable']","['Requires a 64-bit processor and operating system', 'OS: Windows 10 64 Bit', 'Processor: Intel Core 2 Quad CPU Q6600 @ 2.40GHz (4 CPUs) / AMD Phenom 9850 Quad-Core Processor (4 CPUs) @ 2.5GHz', 'Memory: 4 GB RAM', 'Graphics: NVIDIA 9800 GT 1GB / AMD HD 4870 1GB (DX 10, 10.1, 11)', 'Storage: 120 GB available space', 'Sound Card: 100% DirectX 10 compatible', 'Additional Notes: Over time downloadable content and programming changes will change the system requirements for this game.  Please refer to your hardware manufacturer and www.rockstargames.com/support for current compatibility information. Some system components such as mobile chipsets, integrated, and AGP graphics cards may be incompatible. Unlisted specifications may not be supported by publisher.     Other requirements:  Installation and online play requires log-in to Rockstar Games Social Club (13+) network; internet connection required for activation, online play, and periodic entitlement verification; software installations required including Rockstar Games Social Club platform, DirectX , Chromium, and Microsoft Visual C++ 2008 sp1 Redistributable Package, and authentication software that recognizes certain hardware attributes for entitlement, digital rights management, system, and other support purposes.     SINGLE USE SERIAL CODE REGISTRATION VIA INTERNET REQUIRED; REGISTRATION IS LIMITED TO ONE ROCKSTAR GAMES SOCIAL CLUB ACCOUNT (13+) PER SERIAL CODE; ONLY ONE PC LOG-IN ALLOWED PER SOCIAL CLUB ACCOUNT AT ANY TIME; SERIAL CODE(S) ARE NON-TRANSFERABLE ONCE USED; SOCIAL CLUB ACCOUNTS ARE NON-TRANSFERABLE.  Partner Requirements:  Please check the terms of service of this site before purchasing this software.']","['Requires a 64-bit processor and operating system', 'OS: Windows 10 64 Bit', 'Processor: Intel Core i5 3470 @ 3.2GHz (4 CPUs) / AMD X8 FX-8350 @ 4GHz (8 CPUs)', 'Memory: 8 GB RAM', 'Graphics: NVIDIA GTX 660 2GB / AMD HD 7870 2GB', 'Storage: 120 GB available space', 'Sound Card: 100% DirectX 10 compatible']","14 Apr, 2015",['Rockstar North'],['Rockstar Games'],2.0,"(1,714,757)","591,334"
17,Call of Duty®: Black Ops III,"['Multiplayer', 'Zombies', 'FPS', 'Shooter', 'Action', 'First-Person', 'Singleplayer', 'Co-op', 'Futuristic', 'Illuminati', 'Hero Shooter', 'Robots', 'Sci-fi', 'Gore', 'Great Soundtrack', 'Story Rich', 'Atmospheric', 'Parkour', 'Quick-Time Events', 'Simulation']","['OS *: Windows 7 64-Bit / Windows 8 64-Bit / Windows 8.1 64-Bit', 'Processor: Intel® Core™ i3-530 @ 2.93 GHz / AMD Phenom™ II X4 810 @ 2.60 GHz', 'Memory: 6 GB RAM', 'Graphics: NVIDIA® GeForce® GTX 470 @ 1GB / ATI® Radeon™ HD 6970 @ 1GB', 'DirectX: Version 11', 'Network: Broadband Internet connection', 'Storage: 100 GB available space', 'Sound Card: DirectX Compatible']","['OS *: Windows 7 64-Bit / Windows 8 64-Bit / Windows 8.1 64-Bit', 'Processor: Intel® Core™ i3-530 @ 2.93 GHz / AMD Phenom™ II X4 810 @ 2.60 GHz', 'Memory: 6 GB RAM', 'Graphics: NVIDIA® GeForce® GTX 470 @ 1GB / ATI® Radeon™ HD 6970 @ 1GB', 'DirectX: Version 11', 'Network: Broadband Internet connection', 'Storage: 100 GB available space', 'Sound Card: DirectX Compatible']","6 Nov, 2015","['Treyarch', 'Aspyr (Mac)']","['Activision', 'Aspyr (Mac)']",2.0,"(132,408)","145,713"
18,Like a Dragon: Infinite Wealth,"['Action', 'Adventure', 'JRPG', 'Turn-Based Combat', 'Sexual Content', 'Comedy', 'Emotional', 'Story Rich', 'Action RPG', 'Funny', 'Singleplayer', 'Violent', 'Turn-Based', 'Action-Adventure', 'RPG', ""Beat 'em up"", 'Martial Arts', 'Gore', 'Colorful', 'Great Soundtrack']","['Requires a 64-bit processor and operating system', 'OS: Windows 10 1903 (OS Build 18362)', 'Processor: Intel Core i5-3470, 3.2 GHz or AMD Ryzen 3 1200, 3.1 GHz', 'Memory: 8 GB RAM', 'Graphics: NVIDIA GeForce GTX 960, 4 GB or AMD Radeon RX 460, 4 GB or Intel Arc A380, 6 GB', 'DirectX: Version 12', 'Storage: 82 GB available space', 'Sound Card: Windows Compatible Audio Device', 'Additional Notes: 1080p Low @ 30 FPS w/ Balanced FSR 1.0, requires a CPU which supports the AVX and SSE4.2 instruction set']","['Requires a 64-bit processor and operating system', 'OS: Windows 10 1903 (OS Build 18362)', 'Processor: Intel Core i7-4790, 3.6 GHz or AMD Ryzen 5 1600, 3.2 GHz', 'Memory: 16 GB RAM', 'Graphics: NVIDIA GeForce RTX 2060, 6 GB or AMD Radeon RX 5700, 8 GB or Intel Arc A750, 8 GB', 'DirectX: Version 12', 'Storage: 82 GB available space', 'Sound Card: Windows Compatible Audio Device', 'Additional Notes: 1080p High @ 60 FPS w/o FSR, requires a CPU which supports the AVX and SSE4.2 instruction set']","25 Jan, 2024",['Ryu Ga Gotoku Studio'],['SEGA'],2.0,"(8,978)","6,052"
19,Dead by Daylight,"['Horror', 'Survival Horror', 'Multiplayer', 'Online Co-Op', 'Co-op', 'Survival', 'Gore', 'Team-Based', 'Blood', 'Stealth', 'Third Person', 'Violent', 'First-Person', 'Psychological Horror', 'Action', 'Atmospheric', 'Strategy', 'Comedy', 'Mature', 'Difficult']","['Requires a 64-bit processor and operating system', 'OS: Windows 10 64-bit Operating System', 'Processor: Intel Core i3-4170 or AMD FX-8120', 'Memory: 8 GB RAM', 'Graphics: DX11 Compatible GeForce GTX 460 1GB or AMD HD 6850 1GB', 'DirectX: Version 11', 'Network: Broadband Internet connection', 'Storage: 50 GB available space', 'Sound Card: DX11 compatible', 'Additional Notes: With these requirements, it is recommended that the game is played on Low quality settings.']","['Requires a 64-bit processor and operating system', 'OS: Windows 10 64-bit Operating System', 'Processor: Intel Core i3-4170 or AMD FX-8300 or higher', 'Memory: 8 GB RAM', 'Graphics: DX11 Compatible GeForce 760 or AMD HD 8800 or higher with 4GB of RAM', 'DirectX: Version 11', 'Network: Broadband Internet connection', 'Storage: 50 GB available space', 'Sound Card: DX11 compatible']","14 Jun, 2016",['Behaviour Interactive Inc.'],['Behaviour Interactive Inc.'],2.0,"(540,378)","294,987"
20,Call of Duty®,"['FPS', 'Multiplayer', 'Shooter', 'Action', 'Singleplayer', 'Military', 'First-Person', 'War', 'Modern', 'Tactical', 'Violent', 'Co-op', 'Realistic', 'Story Rich', 'Atmospheric', 'Mature', 'Online Co-Op', 'Gore', 'Third-Person Shooter', 'Third Person']","['Requires a 64-bit processor and operating system', 'OS: Windows® 10 64 Bit (latest update)', 'Processor: Intel® Core™ i5-6600 or AMD Ryzen™ 5 1400', 'Memory: 8 GB RAM', 'Graphics: NVIDIA® GeForce® GTX 960 / GTX 1650 or AMD Radeon™ RX 470', 'DirectX: Version 12', 'Network: Broadband Internet connection', 'Additional Notes: SSD with 149 GB available space at launch (78 GB if COD HQ and Call of Duty®: Warzone™ are already installed)']","['Requires a 64-bit processor and operating system', 'OS: Windows® 10 64 Bit (latest update) or Windows® 11 64 Bit (latest update)', 'Processor: Intel® Core™ i7-6700K or AMD Ryzen™ 5 1600X', 'Memory: 16 GB RAM', 'Graphics: NVIDIA® GeForce® GTX 1080Ti / RTX 3060 or AMD Radeon™ RX 6600XT', 'DirectX: Version 12', 'Network: Broadband Internet connection', 'Additional Notes: SSD with 149 GB available space at launch (78 GB if COD HQ and Call of Duty®: Warzone™ are already installed)']","28 Oct, 2022","['Sledgehammer Games', 'Treyarch', 'Infinity Ward', 'Beenox', 'Raven Software', 'High Moon Studios', 'Demonware']",['Activision'],5.0,"(333,296)","299,267"
